flight,time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,speed,payload,altitude,date,time_day,route
32,186.41,1,64,22.88372993,-0.06361419,-79.78276499,40.4590771,267.3564088,-0.003779866,0.003925207,-0.978002787,0.208520576,-0.003637701,0.035707985,0.025241479,0.002765813,0.002739921,-0.002796321,-0.067541389,0.050490282,-9.807062944,12,500,100,7/24/2019,Tarde,R1
33,44.2,6.300000191,98,21.7080555,20.14979553,-79.7826154,40.45912327,318.2932415,0.015606965,-0.003948982,-0.657443404,0.753332019,-1.257172464,3.887515193,-0.324624596,-0.278977007,-0.188947931,-0.135353431,-0.591501704,-0.198783789,-9.546432661,4,0,50,7/24/2019,Tarde,R1
34,97.89,3.599999905,328,21.65546989,30.01794624,-79.78272149,40.4590038,314.6648664,-0.112698562,0.004868606,0.125100583,0.985710442,0.031734163,-0.918169222,-0.363133652,0.224946886,-1.00363946,-0.325679481,-0.426456514,0.404910694,-12.20640181,12,500,50,6/29/2019,Manana,R5
35,141.1,3.700000048,355,21.68050957,24.15748978,-79.78261481,40.45869865,291.2698987,-0.002466026,-0.018704049,0.085401073,0.996168077,-0.446279286,4.015396843,-0.08739063,-0.13925235,-0.045658566,-0.079434782,-0.166024708,0.574560786,-9.828840898,4,250,25,6/29/2019,Manana,R5
36,43.5,1.200000048,198,21.8445282,23.93483925,-79.78271915,40.45897555,266.6863375,0.025590207,-0.016079595,-0.687105894,0.725928426,0.010631993,-0.005967415,0.006909104,-0.000226859,0.000543603,-0.005018624,0.584888357,-0.115472368,-9.794479151,8,250,25,6/29/2019,Manana,R5
37,123.5,11.39999962,2,23.384552,23.10785484,-79.78267488,40.45884173,370.0218568,-0.081041142,-0.065397769,0.121550649,0.987107396,-0.33985654,7.772768263,1.190296392,0.14903526,-0.058802959,0.052037343,-1.657694408,0.731274863,-9.39833029,8,250,100,6/29/2019,Manana,R6
38,182.7,2.700000048,161,22.62080002,2.337821484,-79.78269613,40.45904685,269.3889559,-0.0204715,0.009055295,-0.918185711,0.39551729,-0.153719221,-0.078559481,-0.041800309,0.025943801,-0.010269913,0.026336787,-0.35029653,0.138293594,-9.772909357,8,500,100,6/29/2019,Manana,R6
39,41.82,5.300000191,274,21.75813675,22.53532791,-79.78267017,40.45904108,321.3382096,-0.094920889,-0.000267115,-0.549455583,0.83011359,0.329574628,1.296854413,0.092326202,-0.218110979,0.105271295,-0.064922839,0.783206543,0.945016176,-10.32827147,12,0,50,6/29/2019,Manana,R6
40,81.6,6.900000095,243,23.5473175,21.02449036,-79.78159904,40.45916606,297.2414843,-0.038849901,-0.025080873,0.958138287,0.282546729,-0.407674111,3.98738693,0.279271333,0.046938535,-0.044907782,0.031625338,-0.781028309,-0.692557013,-9.627219547,4,500,25,6/29/2019,Manana,R6
41,81.11,8.5,328,22.73724174,17.42233658,-79.78131001,40.45957938,346.8986413,-0.031001205,0.062220592,0.965152144,0.252287418,0.497949158,-0.725667023,0.370620603,-0.109377526,-0.164681986,0.628506124,0.637746309,-1.258918979,-9.810359019,12,0,75,6/29/2019,Manana,R6
42,40.7,3.200000048,194,21.82574844,28.99216843,-79.78276825,40.45897818,332.182567,0.008557895,-0.007666123,-0.846599579,0.53210634,0.010715237,0.048977444,2.968081817,0.005021491,0.049917091,0.056148335,0.143843314,0.196519217,-9.62180678,8,250,75,7/1/2019,Manana,R6
43,101.4,10.60000038,18,21.85830116,19.24329376,-79.7827161,40.45891198,343.3181464,0.098003365,0.00945996,0.144882157,0.984538078,-0.073383107,9.308894849,-1.271553266,0.158400461,-0.165896446,-0.034079637,-1.485720195,-0.009098085,-10.61731688,12,0,75,7/1/2019,Tarde,R6
44,71.1,10.5,177,21.31866837,19.82377243,-79.78158864,40.45918231,321.069459,0.025424838,-0.026306314,0.974111259,0.223089397,0.048417167,7.737017023,0.239432366,-0.045835383,-0.067394979,-0.115563937,-1.419307081,0.536399225,-9.449326782,8,500,50,7/1/2019,Tarde,R7
45,37.9,3.599999905,204,23.30191612,31.54468727,-79.78277882,40.45896606,315.8587451,0.01251586,-0.006220202,-0.870523453,0.491928548,-0.014662646,0.069835466,3.016269334,-0.048937507,-0.056507226,-0.11177931,0.18751107,-0.126985937,-9.775591475,6,500,100,7/1/2019,Tarde,R7
46,34.6,7.599999905,65,22.48056984,28.45939827,-79.78211866,40.45923353,297.6655572,-0.153776139,0.105830461,-0.519210577,0.834010422,-0.647470515,8.537023525,3.251196956,-0.041645352,0.095123738,-0.321153969,-1.304692737,-0.170383936,-10.98044768,10,0,25,7/1/2019,Tarde,R7
47,126.7,6.599999905,11,21.51774406,24.64254761,-79.78263683,40.45867293,343.2646029,-0.053050488,-0.013920139,0.121997669,0.991013825,-0.328417128,5.901497314,0.555782003,0.095744446,0.131120175,0.150574371,-0.85979564,-0.019048995,-9.801067209,6,250,75,7/1/2019,Tarde,R7
